Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact
https://homestars.com/on/port%20coquitlam/tile-stone-contractors,46,"c(""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=2&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=3&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=4&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=5&"")",Tile & Stone Contractors,2814714,,/companies/2814714-a-wes-tile?searched_category_id=442&service_area=1890870,"A & Wes Tile has been serving the greater Vancouver area since 1994. We specialize in bathroom and kitchen renovations including tile and stone installation.  
Contact us for a free quote today!
p: (604) 657-0343
e: aandwestile@gmail.com",a-wes-tile,2013-09-17T11:34:30.000-04:00,NA,"West side Vancouver, North Vancouver, West Vancouver and the rest of Greater Vancouver. Burnaby, New Westminister, Coquitlam, Port Coquitlam.",,,"-Removing existing tiled floors, walls, vanity, counter-top
-Installing; sub-floor (plywood, galvanized metal lath, anti fracture membrane etc.)  waterproof drywall, waterproof membrane,
shower curb, custom shower base, custom shower niches,
custom shower seat built to specific requirements of the client,
heating mat or cable. grab bars.
- Repairing shower and bathtub enclosure walls (correcting studs
  and installing backing for shower fixtures).
- Repairing floors for tiles installation
- And more specific when required by client.",,"-Custom build bathrooms (walk in showers)
- Large format tiles installation (natural stone tile or porcelain etc.)
- Fireplace tile (natural stone or porcelain)
- Electrically heated floor",1994,0,cheque,Technician of drilling technology ,European licenced tile setter,,TRUE,FALSE,per piece work,,TRUE,FALSE,1year,1877659,A & Wes Tile,122,110,218,9.95455,"Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,2014-12-08T23:42:33.000-05:00,aandwestile,FALSE,0,0,103,0,FALSE,de510b3c194fd63bd9500f0e6ce197aec5ca9cf6,TRUE,2021-11-26T02:27:35.000-05:00,TRUE,TRUE,1890870,99.0454335719,442,NA,NA
https://homestars.com/on/port%20coquitlam/tile-stone-contractors,46,"c(""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=2&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=3&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=4&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=5&"")",Tile & Stone Contractors,2799714,http://www.micomtileworks.com,/companies/2799714-micom-tileworks?searched_category_id=442&service_area=1995318,"Micom Tileworks has been in the tile industry for many years and i have worked as a tile setter in Europe and Canada.  My goal is to provide the customer with good advice, help with selections and meticulous quality work. The products i use are considered high end products which not only gives you a beautiful result but also a solid tile installation that will last you a long time. I work with all ceramic, porcelain, glass and all natural stone tiles and have a extensive knowledge in all tile applications. My focus is residential work so i can work together with the customer to make their vision come true. Over the years i obtained certifications in many tile, in-floor heating, waterproofing and custom tile showerbase products. That is besides the awards Micom Tileworks has won over the years for great customer service and quality work. Give us a call, send a text, email us at micomtileworks@live.com or feel free to go to the website at www.micomtileworks.com for more info about the company.",micom-tileworks,2012-07-10T19:48:56.000-04:00,NA,"Langley, Surrey, Delta, South Surrey, Aldergrove, Cloverdale, Coquitlam, Burnaby, Port Coquitlam, Maple Ridge, Port Moody, New Westminster, Ladner, White Rock, Abbotsford, Vancouver and so on. We go where we are needed. ",,"All ceramic, porcelain, glass and natural stones like slate, travertine, marble and granite. From mosaics and small pebbles to very big tiles. ","We tile everything from Shower/tub-surround walls, tile shower-bases, all floors, fireplaces, backsplashes, patios etc.  We do all the prep work to get everything ready for tile from tearouts, drywalling the areas to be tiled, new subfloors, AF membranes, waterproofing, and sealers. ","We use many brands of tiles but also work with heating and waterproofing products like Nuheat, Thermaflex, schluter products, Redgard, HPG paintable membranes, grout sealers  etc.",Tiles are our specialty and passion.we have a extensive knowledge in all tile applications and products. With many years of experience complete with European training we can provide you with meticulous work. We only use high end products to provide you with a solid job.  ,2005,NA,cheque or E-transfer,,fully licensed,,TRUE,FALSE,,,TRUE,FALSE,,1862766,Micom Tileworks,88,81,25,9.92593,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,",1,NA,micomtileworks,FALSE,0,0,29,NA,FALSE,5ddb358ea3ad71aa103432152af3fd2e5b1ee867,TRUE,2021-07-23T17:57:21.000-04:00,TRUE,TRUE,1995318,96.8325485331,442,NA,NA
https://homestars.com/on/port%20coquitlam/tile-stone-contractors,46,"c(""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=2&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=3&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=4&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=5&"")",Tile & Stone Contractors,2856804,http://www.nsstoneworks.com,/companies/2856804-north-shore-stone-works?searched_category_id=442&service_area=1982752,"North Shore Stone Works is a fabricator of high quality of granite, marble and quartz countertops and architectural stone details. We design all types of natural stone countertops for the Vancouver and lower mainland area. Custom Stone Kitchen and Bathroom countertops are fabricated in our medium sized shop located in North Vancouver. All our products are made with high quality stone, such as quartz, marble, granite in a variety of colours.
Marble Countertops, Quartz Countertops, Granite Countertops, Quartzite Countertops ",north-shore-stone-works,2014-07-21T14:41:31.000-04:00,NA,"North Vancouver, West Vancouver, Vancouver, Burnaby, Sechelt, Squamish, Whistler, Bowen Island",8 to 5 Monday to Friday,"Marble Countertops, Quartz Countertops, Granite Countertops, Quartzite Countertops","Granite Fabrication, Countertop Fabrication, Barbeque Counter Fabrication and installation, stone fireplace fabrication and installation, marble fabrication, mitered edges, ogee edges, granite maintenance, ","LG Viatera, Silestone, Caesarstone, Quartzforms, Geos, Diresco, Pental Quartz, Vicostone Quartz, Quantra Quartz, Hanstone, Zodiac Quartz, Compaq Quartz, Cimstone Quartz","Fabrication, installation, removal, remodel, renovation, new construction, ",12,7,"Cash, Cheque",,Municipal,,TRUE,FALSE,,,TRUE,FALSE,Unlimited Fabrication Warranty,1919234,North Shore Stone Works,34,33,5,9.66667,"Countertops, Granite Counter Tops, Kitchen Counter Tops, Marble Counter Tops, Laminate Counter Top, Quartz Counter Top, Corian counter top, tile counter top, silestone counter tops, arborite counter tops, custom counter tops, kitchen, remodeling, kitchen cabinet, kitchen design, ,Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,NA,northshorestone,FALSE,0,0,6,0,FALSE,5d986e100cfed775608e63740b4e425fe9f8fafe,TRUE,2016-10-11T17:28:22.000-04:00,TRUE,TRUE,1982752,83.9977873207,442,NA,NA
https://homestars.com/on/port%20coquitlam/tile-stone-contractors,46,"c(""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=2&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=3&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=4&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=5&"")",Tile & Stone Contractors,2804744,http://www.actileandstone.com,/companies/2804744-ac-tile-stone?searched_category_id=442&service_area=1871388,"At AC Tile and Stone, we pride ourselves in our quality workmanship and our customer service. We want our clients to be excited by their new space for years to come! From kitchen back splashes and bathroom tub surrounds all the way to full home renovation, AC Tile and Stone will be happy to help-from design concept through to completion. We do it with a mandate to reduce our ecological footprint. You can be sure that when you choose AC Tile and Stone for your next project, we will do our best to be as environmentally friendly as possible without sacrificing quality and value. We look forward to hearing from you!",ac-tile-stone,2013-01-13T12:00:27.000-05:00,NA,"Vancouver, North Vancouver, West Vancouver, Burnaby, Coquitlam, Richmond, Delta, Surrey, Ladner, Tsawwassen, White Rock, Langley, Fort Langley, Abbotsford.",,"Complete Residential Renovations
- Interior & Exterior
Commercial Renovations
Flooring 
- Hardwood 
- Cork 
- Bamboo 
- Concrete 
Specialty Projects
Interior Design
kitchen and bath renovation
paving stones
retaining wall 
fireplace

","Tiling 
- Marble
- Lime stone
- Granite
- Slate
- Porcelain 
- Ceramic 
- Glass
- any natural stone
Complete Residential Renovations
- Interior & Exterior
Commercial Renovations
Flooring 
- Hardwood 
- Cork 
- Bamboo 
- Concrete 
Specialty Projects
Interior Design",,"- Natural Tile & Stone
- Flooring
- Residential Renovations
- Exterior Stone work
",2008,NA,"Cheque, Cash, Credit",,"work safe bc, liability insurane",BNI,TRUE,FALSE,,No Minimum,TRUE,FALSE,2 years,1867744,Ac Tile & Stone,33,30,222,9.16667,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,2013-12-23T22:14:14.000-05:00,actileandstone,FALSE,0,0,213,NA,FALSE,2fc662187961d787132f3d2121e294275bf10c67,TRUE,2019-02-05T17:15:25.000-05:00,TRUE,TRUE,1871388,91.2828112883,442,NA,NA
https://homestars.com/on/port%20coquitlam/tile-stone-contractors,46,"c(""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=2&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=3&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=4&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=5&"")",Tile & Stone Contractors,2975363,,/companies/2975363-h-and-g-ceramic-tiles?searched_category_id=442&service_area=2297327,,h-and-g-ceramic-tiles,2022-11-04T13:32:51.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2037261,H and G ceramic tiles,2,2,22,10,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,2022-11-04T13:39:54.000-04:00,,FALSE,0,0,24,0,FALSE,2566af0a57431e6faab079e9aaee16c5cdc19200,TRUE,NA,TRUE,TRUE,2297327,90.9598356454,442,NA,NA
https://homestars.com/on/port%20coquitlam/tile-stone-contractors,46,"c(""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=2&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=3&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=4&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=5&"")",Tile & Stone Contractors,2972497,,/companies/2972497-rbs-tiles-and-stone?searched_category_id=442&service_area=2291403,"Specializing in bathroom and kitchen tile - showers, flooring, backsplash

Meticulous attention to detail and quality customer service

Call today for a free quote!",rbs-tiles-and-stone,2022-09-01T13:24:03.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2034408,Rbs Tiles and Stone,2,2,132,10,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,2022-09-01T13:25:15.000-04:00,,FALSE,0,0,153,0,FALSE,3ee4504b48e73f81aa02180ffba0923fd3e431ea,TRUE,NA,TRUE,TRUE,2291403,90.793708827,442,NA,NA
https://homestars.com/on/port%20coquitlam/tile-stone-contractors,46,"c(""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=2&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=3&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=4&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=5&"")",Tile & Stone Contractors,2966606,https://centraleastvan.floorcoveringsinternational.com/,/companies/2966606-floor-coverings-international-of-vancouver?searched_category_id=442&service_area=2276661,"About Floor Coverings International®
Floor Coverings International® is here to provide you with the best in-home flooring experience. Our Design Associates and our flooring team are both dedicated to superior craftsmanship because we want the floors in your home to be functional and beautiful. You can always count on Floor Coverings International® for quality products and workmanship that is second to none. See how we can help with your floors.

We Are Passionate About Our Customers
Providing an excellent customer service experience to every client is our driving force.",floor-coverings-international-of-vancouver,2022-03-30T22:08:53.000-04:00,NA,NA,NA,"Carpets, Hardwoods, Vinyl, Stone, Laminate, Tile","Installation Services for Carpet, Flooring and Tiling",,We bring thousands of samples to your house using our mobile showroom.,2022,7,"Cash, Cheque, E- Transfer, Cards",,,,TRUE,TRUE,,,TRUE,FALSE,"Yes, Subject to terms & conditions ",2028524,Floor Coverings International of Vancouver,3,3,17,10,"Floor Laying & Refinishing, Hardwood Floor, Wood Floor, Floor Tile, Dance Floor, Ceramic Floor Tile, Floor Refinishing, bamboo floor, cork floor, FSC wood flooring, stone floor, marble floor, slate floor, squeaky floor repair, laminate, laminate repair, wood floor, floor and wood, wood flooring, wood floors, floors in wood, hardwood flooring, hardwood floors, hardwood floors and, hardwood floor, hardwood floor wood, wood floor flooring, refinishing, floor refinishing, floor refinishing in, refinishing floor, hardwood install, floor laying, laying a floor, flood sanding, wood floor refinishing, refinishing hardwood floors, flooring laying, wood floors refinishing, wood flooring refinishing, floor co, flooring hard wood, hard wood floors, laying floors, flooring company, flooring engineered hardwood, floor company, hard wood floor, cleaning hardwood floors, installing hardwood flooring, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floor, hardwood flooring installation, business floor, wood flooring installation, hardwood floor installation, floor companies, lay hardwood flooring, lay hardwood floor, wood floor repair, repair wood floor, repair hardwood floor, hardwood floor repair, finishing a hardwood floor, squeeky floors,,Hardwood floors, Install hardwood floors, caulking,Carpet Installers, Installing carpets, rug installation, carpet installation, broadloom installers, broadloom installation, Broadloom Stretching, Broadloom restretching, Broadloom re-stretching, wall to wall rug installation, wall to wall carpet installation, carpet installers, rug installers repair, install tile ,backsplash , fire place veener, wall stone veener bath room mosaic, ,Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,2022-03-30T22:09:34.000-04:00,Floorcoveringsburnaby,FALSE,0,0,18,0,FALSE,9bfc6dfea1e77ae9dae9eb66c39e04271eeb1c12,TRUE,NA,TRUE,TRUE,2276661,90.4922753282,442,NA,NA
https://homestars.com/on/port%20coquitlam/tile-stone-contractors,46,"c(""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=2&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=3&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=4&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=5&"")",Tile & Stone Contractors,2972332,https://nevan.floorcoveringsinternational.com,/companies/2972332-floor-coverings-international-of-northeast-vancouver-bc?searched_category_id=442&service_area=2290011,"Floor Coverings International is the flooring store that comes to you. We can bring thousands of samples to you using our mobile showroom. Floor Coverings International® carries a full assortment of flooring. No matter what you are looking for, we have options that will fit the purpose of the room, your lifestyle and price-point. We have the best customer service rating for the industry and strive to build trust from our first interaction.

Floor Coverings International® goes the extra mile in customer service, by returning to your property after installation to inspect and make sure your new floor is impeccable.",floor-coverings-international-of-northeast-vancouver-bc,2022-08-29T13:02:03.000-04:00,NA,NA,NA,,"We provide high quality design and installation services and carry the latest flooring products including hardwood, carpet, stone, and tile flooring.

Our Design Associates work directly with the customer to have all the facts about the product you choose and the details for your flooring installation.

At Floor Coverings International®, we have strong partnerships with the manufacturers of the floor coverings we carry. These relationships enable us to speak to the product quality and durability and ensure you make the most informed decision.",,,2021,4,Cash and credit cards accepted,,,Member of BNI,TRUE,FALSE,,,TRUE,FALSE,100% satisfaction warranty,2034243,"Floor Coverings International of Northeast Vancouver, BC",3,2,1,10,"Carpet Installers, Installing carpets, rug installation, carpet installation, broadloom installers, broadloom installation, Broadloom Stretching, Broadloom restretching, Broadloom re-stretching, wall to wall rug installation, wall to wall carpet installation, carpet installers, rug installers repair, install tile ,backsplash , fire place veener, wall stone veener bath room mosaic, ,Floor Laying & Refinishing, Hardwood Floor, Wood Floor, Floor Tile, Dance Floor, Ceramic Floor Tile, Floor Refinishing, bamboo floor, cork floor, FSC wood flooring, stone floor, marble floor, slate floor, squeaky floor repair, laminate, laminate repair, wood floor, floor and wood, wood flooring, wood floors, floors in wood, hardwood flooring, hardwood floors, hardwood floors and, hardwood floor, hardwood floor wood, wood floor flooring, refinishing, floor refinishing, floor refinishing in, refinishing floor, hardwood install, floor laying, laying a floor, flood sanding, wood floor refinishing, refinishing hardwood floors, flooring laying, wood floors refinishing, wood flooring refinishing, floor co, flooring hard wood, hard wood floors, laying floors, flooring company, flooring engineered hardwood, floor company, hard wood floor, cleaning hardwood floors, installing hardwood flooring, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floor, hardwood flooring installation, business floor, wood flooring installation, hardwood floor installation, floor companies, lay hardwood flooring, lay hardwood floor, wood floor repair, repair wood floor, repair hardwood floor, hardwood floor repair, finishing a hardwood floor, squeeky floors,,Hardwood floors, Install hardwood floors, caulking,Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic",0,2022-08-29T13:03:00.000-04:00,FLOORCOVERINGSINTERNATIONALOFNORTHEASTVANCOUVER,FALSE,0,0,2,0,FALSE,32fda09c1c58be79cf8f435304cf3cfb8f50eab2,TRUE,NA,TRUE,TRUE,2290011,90.4409297634,442,NA,NA
https://homestars.com/on/port%20coquitlam/tile-stone-contractors,46,"c(""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=2&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=3&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=4&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=5&"")",Tile & Stone Contractors,2944130,https://www.craftsmens.ca,/companies/2944130-craftsmen-tile-and-bath?searched_category_id=442&service_area=2278211,"Our Approach
Is plain and simple. To have your vision and ideas for bathroom and tiling project a reality 
My Story
I’ve been tiling for over 20 years. Its how I was raised and learn to perfect my craft And I have been renovating bathroom for 10 years 
Next Steps…
You can call our offices at 604-308-2225 to request a quote. We can give you an estimate of cost over the phone but would need to see the job in question before any price is finalized and done through a proper quote.
",craftsmen-tile-and-bath,2020-06-01T23:02:52.000-04:00,NA,NA,NA,,,,,2017,2,"e-transfer, cheque",,municipal licenses,Better Business Bureau ,TRUE,FALSE,,,TRUE,FALSE,1 year warranty upon completion of said project,2006283,Craftsmen Tile and Bath,10,10,147,10,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,",0,2020-06-01T23:03:48.000-04:00,,FALSE,0,0,177,0,FALSE,3c654ed06308b5432a648d3a6cfb3709c5619650,TRUE,NA,TRUE,TRUE,2278211,98.7053809446,442,NA,NA
https://homestars.com/on/port%20coquitlam/tile-stone-contractors,46,"c(""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=2&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=3&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=4&"", ""https://homestars.com/on/port%20coquitlam/tile-stone-contractors?&page=5&"")",Tile & Stone Contractors,2967004,http://surfacedeepsolutions.com/,/companies/2967004-surface-deep-solutions?searched_category_id=442&service_area=2277569,"Surface Deep Solutions is committed to sustainable construction and to minimizing the impact we have on the environment. High quality cosmetic repair is a sustainable option, it’s far more environmentally friendly, not to mention cost-effective, to repair rather than replace – and that goes for both refurbishment and new build projects.

How we can help
Replacements cost more in terms of money, time and labour, and can significantly delay delivery of a project. Our cosmetic repairs help keep projects on time, on budget, and improve waste management, helping to achieve and maintain sustainable construction.


Save Money
Instead of replacing, refinish your products to save YOU money!  

Repair all types of surfaces
We can repair all types of surfaces including granite, laminate, fiberglass, enamel, cast iron, metal or wood.  

Friendly Staff
Built on a solid foundation of experience, meticulous attention to detail, superb workmanship and exceptional customer service

ECO-Friendly
We help prevent old bathtubs, tiles, counter-tops and sinks from entering landfill

Why Choose to Repair
Eliminate the expense and the disruption of replacement work with top-notch repair and restoration services from Surface Deep Solutions. By doing so, you could take advantage of up to 80% in substantial savings. Contact Us for your FREE estimate.

Our Values
Quality – We are committed to providing high quality service for all of our customers.
Creativity – We are continuously inventing new ways of repairing surfaces that are both cost effective and environmentally friendly.
Workmanship – We thrive on providing high quality workmanship for all of our customers.",surface-deep-solutions,2022-04-10T21:32:31.000-04:00,NA,NA,NA,,"We can help you Repair Instead of Replace. To save YOU money!

We provide services for YOU, manufacturers, realtors, restoration, development and management companies.
 

We specialize in many types of surface  repairs such as:
 

• Counter tops/granite,laminate. Stains, chips and scratches.

• Tubs/sinks/showers whether it is on fiberglass, enamel or cast iron.

• Vinyl window casings/ sliding glass door vinyl frames. Chips,cracks and holes.

• Appliances – Stove/oven chips.

• Metal/wood doors. Dents or scratches.

• Elevator panels, laminate, lino and hardwood floor",,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2028922,Surface Deep Solutions,9,8,5,10,"Floor Laying & Refinishing, Hardwood Floor, Wood Floor, Floor Tile, Dance Floor, Ceramic Floor Tile, Floor Refinishing, bamboo floor, cork floor, FSC wood flooring, stone floor, marble floor, slate floor, squeaky floor repair, laminate, laminate repair, wood floor, floor and wood, wood flooring, wood floors, floors in wood, hardwood flooring, hardwood floors, hardwood floors and, hardwood floor, hardwood floor wood, wood floor flooring, refinishing, floor refinishing, floor refinishing in, refinishing floor, hardwood install, floor laying, laying a floor, flood sanding, wood floor refinishing, refinishing hardwood floors, flooring laying, wood floors refinishing, wood flooring refinishing, floor co, flooring hard wood, hard wood floors, laying floors, flooring company, flooring engineered hardwood, floor company, hard wood floor, cleaning hardwood floors, installing hardwood flooring, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floor, hardwood flooring installation, business floor, wood flooring installation, hardwood floor installation, floor companies, lay hardwood flooring, lay hardwood floor, wood floor repair, repair wood floor, repair hardwood floor, hardwood floor repair, finishing a hardwood floor, squeeky floors,,Hardwood floors, Install hardwood floors, caulking,Countertops, Granite Counter Tops, Kitchen Counter Tops, Marble Counter Tops, Laminate Counter Top, Quartz Counter Top, Corian counter top, tile counter top, silestone counter tops, arborite counter tops, custom counter tops, kitchen, remodeling, kitchen cabinet, kitchen design, ,Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,2022-04-10T21:33:37.000-04:00,,FALSE,0,0,4,0,FALSE,f54dca694a05efecf6edc33c0bec03822fe84695,TRUE,NA,TRUE,TRUE,2277569,88.3455670071,442,NA,NA
