Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact
https://homestars.com/on/snowball/computer-repairs-service,37,"c(""https://homestars.com/on/snowball/computer-repairs-service?&page=2&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=3&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=4&"")",Computer Repairs and Support,2777209,http://www.fujitech.ca,/companies/2777209-fujitech-technologies-inc?searched_category_id=335&service_area=1829631,"COMPUTER & NOTEBOOK REPAIRS, UPGRADES, ON-SITE SERVICES

Fujitech is a wholesale distrubutor for computers, blank storage media (CD-R, DVD-R, BD-R, etc) & accessories and also a retail outlet providing PC & Laptop repair services in Thornhill & GTA.

Service offerings include a free no-obligation PC diagnostic and repair services and come with a ""No Fix No Pay"" Guarantee, which means if they don't fix, you don't pay.

Fujitech does computer Repairs & Upgrades, virus removal, System tune-up, Networking and also sells & installs DVR Security Camera Systems and POS systems.

On-site service to businesses and home users are also provided at reasonable rates.
",fujitech-technologies-inc,2009-12-23T00:54:08.000-05:00,NA,"Thornhill, Markham, Concord, Vaughan, Richmond Hill, Stouffville, Aurora, New Market, Brampton, Mississauga",10:00am ~ 7:00pm,"Computer Goods & Accessories, Blank Media (CD-R, DVD-R, Blu-Ray), Point of Sale (POS) peripherals, CCTV Security Cameras, DVR systems","Desktop Computer & Laptop upgrades & repairs, On-site Computer services, Virus removal & System tune-up","Intel, AMD, Ridata, Philips, Lenovo, Brother, Epson, HP, Toshiba, Dell, Acer, Kingston, Thermaltake, Coolermaster, APC, Seagate, Western Digital, Asus, Gigabyte, MSI, Biostar","FREE in-store PC diagnostics.
NO FIX NO PAY GUARANTEE - If we don't fix, you don't pay.",2006,NA,"Cash, Visa, Mastercard, Interac, Certified Cheque",,,"Ontario Chamber of Commerce
Intel Technology Provider Gold Parter, MICROSOFT Partner, DELL Register",TRUE,FALSE,,,TRUE,FALSE,,1840261,Fujitech Technologies Inc.,314,274,30,9.91971,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,2010-07-20T11:48:47.000-04:00,fujitech,FALSE,0,0,46,100,FALSE,51f02b0bd5af61324eec50f2b5ae944063222a00,TRUE,2022-11-04T17:24:02.000-04:00,TRUE,TRUE,1829631,99.1119493364,335,NA,NA
https://homestars.com/on/snowball/computer-repairs-service,37,"c(""https://homestars.com/on/snowball/computer-repairs-service?&page=2&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=3&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=4&"")",Computer Repairs and Support,2776185,http://www.system-network-solutions.com,/companies/2776185-system-network-solutions?searched_category_id=335&service_area=2084940,"System Network Solutions can help your home or business with their wireless, networking, and general Windows and Apple computer repair and support. We are also experts at data recovery, computer component replacement or custom system builds, cleaning viruses or Trojan infected computer, and any other computer problem.",system-network-solutions,2009-09-17T23:20:07.000-04:00,NA,NA,24/7 Emergency Response,,,,,2005,2,Cash or Cheque,"Computer Information Systems, CCNP, CCNA Security",,,FALSE,FALSE,,,FALSE,FALSE,1 month warranty on service only,1839237,System Network Solutions,83,73,2,10,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,2009-09-17T23:20:06.000-04:00,snsolutions,FALSE,0,0,2,NA,FALSE,46667c7a3254c9063744ea7a0917f754376536b7,TRUE,2022-10-01T14:56:51.000-04:00,TRUE,TRUE,2084940,97.8183386035,335,NA,NA
https://homestars.com/on/snowball/computer-repairs-service,37,"c(""https://homestars.com/on/snowball/computer-repairs-service?&page=2&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=3&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=4&"")",Computer Repairs and Support,2784280,http://www.supertechteam.com,/companies/2784280-supertechteam?searched_category_id=335&service_area=2094054,"COVID-19 UPDATE: We are open and able to fully support all clients requiring tech support. We are following very strict health guidelines during home/office visits while wearing face protection, sanitizing hands before & after visits, and wearing clean clothes & socks daily. We also use the most secure industry-accepted software to help you remotely when possible. We have a healthy inventory of computers & parts and we do not believe in price gouging. 
 
SuperTechTeam offers dependable services at prices that make sense to you. Our technicians are certified and highly experienced to handle your concerns in the most professional manner.
 
We come to your home or business so you never have to lift a finger! 
  
We can help you with your home and business needs including Mac, PC's, iPhone/iPad, Networking, Wifi, Printers, Home entertainment, 1-on-1 Training, and more!
 
Our clients love our quality of work and we strive to ensure each and every one of them is 100% satisfied.
 
Service Area: We service most of the GTA including Toronto, Markham, Richmond Hill, Vaughan, Aurora, Newmarket, Mississauga, and more. If you're not sure, send us a note and we can confirm if we can help you.
  
Call us for a free quote today at 416-840-5813!",supertechteam,2011-02-18T23:29:21.000-05:00,NA,"GTA including Toronto, Thornhill, Markham, Richmond Hill, Vaughan, Woodbridge, Aurora, Pickering, Mississauga, ","MON-FRI: 9AM - 7PM, SAT: 9AM - 1PM, SUN: 9AM - 12PM",,"Computer Services for PC & Mac, 

Multimedia Services for your Home Entertainment needs.

Mobile Services for your iPhone, Androind, and BlackBerry devices.

Server Services to keep your business up and running.
Cloud Services such as online backup, Office 365 Hosted Exchange, Web & Email hosting.

Training featuring 1-on-1 customized training.

Visit our website or contact us today for full details.","Microsoft, Apple, Symantec, HP, Dell, Intel, AMD, Western Digital, LogMeIn, and many more. ",,2001,3,"VISA, MASTERCARD, AMERICAN EXPRESS, CHEQUE, CASH, ONLINE E-TRANSFER, Google Pay, Apple Pay, Interact Flash",,"A+ Certified, Network + Certified, Microsoft Certified","Microsoft Certified Partner, Adobe Certified Partner, Symantec Certified Partner, Western Digital Ce",TRUE,TRUE,"Varies per project, no charge estimates",,TRUE,FALSE,100% customer satisfaction.,1847332,Super Tech Team,54,48,8,9.97917,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",2,2011-02-18T23:29:22.000-05:00,supertechteam,FALSE,0,0,9,NA,FALSE,00efe49c7e914176f804de81b1db1cd93e096851,TRUE,2020-11-01T23:12:18.000-05:00,TRUE,TRUE,2094054,96.7592442946,335,NA,NA
https://homestars.com/on/snowball/computer-repairs-service,37,"c(""https://homestars.com/on/snowball/computer-repairs-service?&page=2&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=3&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=4&"")",Computer Repairs and Support,2972978,,/companies/2972978-fix-easy-cellphones-and-smart-homes-inc?searched_category_id=335&service_area=2291510,,fix-easy-cellphones-and-smart-homes-inc,2022-09-13T10:59:03.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2034889,Fix Easy Cellphones and Smart Homes Inc,2,2,46,10,"Alarm Systems, Home Alarm Systems, Alarm System Monitoring, Fire Alarm Systems, Home Security Systems, The Alarm, At Home Security, Home Security, Security Systems, Alarm Security, Security Alarm, Security Cameras, Security Company, Security Companies, Home alarm, Alarm home, Alarm security, House security, house alarm, burglar alarm, carbon monoxide, carbon monoxide alarms, business cameras, commercial surveillance systems, surveillance, commercial security cameras, commercial security camera,,Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,Handyman Services, Handyman, Home Handyman, Handyman Business, Repairmen, Repairman, house doctor, how to be a handyman, what is a handyman, the handyman, a handyman, handy man, the handy man, handy handyman, home repair, in home repair, handymen, the handymen, improvements home, home remodeling, home improvement remodeling, remodeling home improvement, hand man, kitchen and remodeling, home improvement and repair, home repair and improvement, home improvement repair, remodeling and repair, home remodeling and repair, home repair and remodeling, home repair remodeling, home remodeling repair, home improvements remodeling, repair house, house repair, house remodeling, house improvements, property maintenance, home maintenance, home repairs, in home repairs, repairman, services handyman, the handyman service, service handyman, handyman service, handy services, house repairs, repairs house, repair homes, service contractors, mr fix it, mud room, mudroom, caulking,Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,",0,2022-09-13T11:00:40.000-04:00,fixeasy,FALSE,0,0,52,0,FALSE,fcb89abdaf5fad2cbbb30783dfa63587aff92e57,TRUE,NA,TRUE,TRUE,2291510,85.664518056,335,NA,NA
https://homestars.com/on/snowball/computer-repairs-service,37,"c(""https://homestars.com/on/snowball/computer-repairs-service?&page=2&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=3&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=4&"")",Computer Repairs and Support,2966329,http://www.workdonepro.ca,/companies/2966329-work-done-pro?searched_category_id=335&service_area=2278646,"OUR OVER 15 YEARS EXPERIENCE IN AUTOMATION MAKE A RIGHT PLACE FOR YOU TO START YOUR JOURNEY TO SMART HOME.

Make your home smart, and life simple

Expert in design, install, setup and troubleshooting for:

Security cameras
Smart displays & Speakers
Smart doorbells & Locks
Smart lights, Switches & Plugs
Smart thermostats
Smart Garage
Voice control
Wi-Fi & Networking
TV's & home theatres
Central & Robot vacuums
Smart curtains & blinds",work-done-pro,2022-03-24T11:24:05.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2028247,Work Done Pro,7,6,1,10,"Home Automation, Home Automation System, Wireless Home Automation, Home Automation Software, Smart Homes, wire, x10, home theatre, home security security, in home security, home security home, at home security, home security, home home security, control 4, wireless home, light control, the smart home, smart home, a smart home, home smart home, in home security systems, home security systems, security systems home, security systems for home, security systems for the home, home security system, security system home, home system security, security home system, security system for home, in home security system, house of security, in home automation, automation home, about home automation, what is home automation, how to home automation, home automation how to, automation for home, smart house, crestron, automation house, house automation, house of automation, smart homes, automation system, homeautomation, i home remote, remote home, TV Install, TV Wall Mounting, Ceiling Speaker Automation, Ceiling Speaking Installation,Computer Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,Vacuum Sales & Service, Vacuum Cleaners, Vacuum Cleaner Bag, Vacuum Pump, Vacuum Cleaner Sales, Vacuum Cleaner Service, central vacuum service, central vacuum installation, vacuum repair, central vacuum sale, ,Sump pump line tepair,Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,2022-04-25T13:57:06.000-04:00,workdonepro,FALSE,0,0,2,0,FALSE,daea9853ecf6e3915c0b5f496b52d48e5f7bec43,FALSE,2022-10-20T15:15:09.000-04:00,TRUE,TRUE,2278646,86.963464931,335,NA,NA
https://homestars.com/on/snowball/computer-repairs-service,37,"c(""https://homestars.com/on/snowball/computer-repairs-service?&page=2&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=3&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=4&"")",Computer Repairs and Support,2764880,http://www.mrpcdoc.com/,/companies/2764880-mr-pc-doctor?searched_category_id=335&service_area=1778084,"MR PC DOCTOR is a one-stop computer repair shop. We specialize in all makes and models of Microsoft Windows or MAC OSX Laptops, Notebooks, Netbooks, PCs, Desktops and All-In-One computer systems and Printers. Our services include all Microsoft or MAC Laptop Repairs, Notebook Repairs, Netbook Repairs, PC Repairs, Desktop Repairs, All-In-One Repairs, Virus Removal, Malware Removal, Wireless Installation and Networking, Printers, all Hardware and Software Installations and Upgrades, Data Recovery and Data Backup Services and all of the most common IT Services. ",mr-pc-doctor,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1827932,Mr Pc Doctor,3,3,0,10,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,2018-04-25T10:37:07.000-04:00,NA,FALSE,0,0,0,NA,FALSE,7383a812a14bbe032b13d7f53f9f5c4003357c49,FALSE,NA,TRUE,FALSE,1778084,63.5995965093,335,NA,NA
https://homestars.com/on/snowball/computer-repairs-service,37,"c(""https://homestars.com/on/snowball/computer-repairs-service?&page=2&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=3&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=4&"")",Computer Repairs and Support,312382,http://www.compuman.ca,/companies/312382-compuman-computer-solutions?searched_category_id=335&service_area=1827624,"In Home or Remote Computer Support / Troubleshooting
",compuman-computer-solutions,2007-08-14T20:00:00.000-04:00,NA,"Brampton, Concord, Etobicoke, Markham, Mississauga, Newmarket, North York, Oakville, Richmond Hill, Scarborough, Thornhill, Toronto, Unionville, Vaughan, Woodbridge ",8am - 11pm with 24 hour messaging,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,106680,Compu Man Computer Solutions,2,0,0,NA,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,2007-08-14T20:00:00.000-04:00,NA,FALSE,0,0,0,NA,FALSE,d5b21a6eb8ff9a1b76f1bc535d79e040d60b334d,FALSE,NA,FALSE,FALSE,1827624,0.0,335,NA,NA
https://homestars.com/on/snowball/computer-repairs-service,37,"c(""https://homestars.com/on/snowball/computer-repairs-service?&page=2&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=3&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=4&"")",Computer Repairs and Support,2943397,NA,/companies/2943397-acyr-communications-inc?searched_category_id=335&service_area=2224807,NA,acyr-communications-inc,2020-05-13T13:16:21.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2005550,Acyr Communications Inc.,0,0,0,NA,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,2020-05-13T13:18:28.000-04:00,NA,FALSE,0,0,0,0,FALSE,92c9c044e8c894e48289c29d861deda0b49d5536,FALSE,NA,TRUE,FALSE,2224807,-1.0,335,NA,NA
https://homestars.com/on/snowball/computer-repairs-service,37,"c(""https://homestars.com/on/snowball/computer-repairs-service?&page=2&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=3&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=4&"")",Computer Repairs and Support,2809338,NA,/companies/2809338-human-2-human-it-solutions-inc?searched_category_id=335&service_area=1880100,NA,human-2-human-it-solutions-inc,2013-05-01T16:19:34.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1872338,Human 2 Human It Solutions Inc.,0,0,0,NA,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,92cc1db43d971729c1075f5db362652434a3eed7,FALSE,NA,FALSE,FALSE,1880100,-1.0,335,NA,NA
https://homestars.com/on/snowball/computer-repairs-service,37,"c(""https://homestars.com/on/snowball/computer-repairs-service?&page=2&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=3&"", ""https://homestars.com/on/snowball/computer-repairs-service?&page=4&"")",Computer Repairs and Support,2586804,NA,/companies/2586804-serge-s-computer-service-gta?searched_category_id=335&service_area=1600008,,serge-s-computer-service-gta,2008-03-04T16:55:15.000-05:00,NA,NA,9.00a.m.-5.00p.m.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1649856,Serge's Computer Services Gta,0,0,0,NA,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,2014-10-27T09:38:44.000-04:00,NA,FALSE,0,0,0,NA,FALSE,053c6da616f91d4f2f88cbc6365237cf02bf56ae,FALSE,NA,FALSE,FALSE,1600008,-1.0,335,NA,NA
