Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at,subdomain,latest_approved_review_created_at
https://homestars.com/on/mountain-city/staging,4,"https://homestars.com/on/mountain-city/staging; c(""https://homestars.com/on/mountain-city/staging?&page=2&"", ""https://homestars.com/on/mountain-city/staging?&page=3&"")",Home Staging,2851812,NA,/companies/2851812-set4sale-home-staging-redesign?searched_category_id=437&service_area=1965403,"Certified Professional  helping you ""make the most of your sale""
From comprehensive consultation to full service execution",set4sale-home-staging-redesign,2014-04-10T14:14:04.000-04:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1914243,Set4 Sale Home Staging & Redesign,0,0,0,NA,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",1,FALSE,0,0,0,0,FALSE,cdc9d9ba9fa4ad685f0c046567c12093157b4582,FALSE,FALSE,FALSE,1965403,0,437,NA,NA,NA,NA,NA
https://homestars.com/on/mountain-city/staging,4,"https://homestars.com/on/mountain-city/staging; c(""https://homestars.com/on/mountain-city/staging?&page=2&"", ""https://homestars.com/on/mountain-city/staging?&page=3&"")",Home Staging,2583952,NA,/companies/2583952-lynne-lacasse-decorations?searched_category_id=437&service_area=1597156,NA,lynne-lacasse-decorations,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1647004,Lynne Lacasse Decorations,0,0,0,NA,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1597156,0,437,NA,NA,NA,NA,NA
https://homestars.com/on/mountain-city/staging,4,"https://homestars.com/on/mountain-city/staging; c(""https://homestars.com/on/mountain-city/staging?&page=2&"", ""https://homestars.com/on/mountain-city/staging?&page=3&"")",Home Staging,2758865,NA,/companies/2758865-the-lone-arranger-home-staging?searched_category_id=437&service_area=1772069,NA,the-lone-arranger-home-staging,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1821917,The Lone Arranger Home Staging,0,0,0,NA,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1772069,0,437,NA,NA,NA,NA,NA
https://homestars.com/on/mountain-city/staging,4,"https://homestars.com/on/mountain-city/staging; c(""https://homestars.com/on/mountain-city/staging?&page=2&"", ""https://homestars.com/on/mountain-city/staging?&page=3&"")",Home Staging,2582010,NA,/companies/2582010-nai-commercial?searched_category_id=437&service_area=1595214,NA,nai-commercial,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1645062,NAI Commercial,0,0,0,NA,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1595214,0,437,NA,NA,NA,NA,NA
https://homestars.com/on/mountain-city/staging,23,"https://homestars.com/on/mountain-city/staging; c(""https://homestars.com/on/mountain-city/staging?&page=2&"", ""https://homestars.com/on/mountain-city/staging?&page=3&"")",Home Staging,2782880,http://www.CapitalHomeStagingAndDesign.ca,/companies/2782880-capital-home-staging-design?searched_category_id=437&service_area=1836739,Capital Home Staging & Design is currently Ottawa's only award winning home staging company taking home the 2009 BBB Torch award for Marketplace ethics. We have a team of educated and dedicated professional stagers whom are ready to help home owners maximize the value of their home in the most cost effective way.,capital-home-staging-design,2010-12-10T11:16:05.000-05:00,NA,Ottawa and all surrounding areas (Rockland to Smith Falls and beyond) ,,,"Professional Home Staging Consultations, Colour Consultations, Interior Redesign.","we work with ICI, Benjamin Moore, and Sherwin Williams paint decks.","We specialize in home staging helping home owners address their home so it appeals to the most amount of buyers in the lease amount of time, from furniture placement to possible upgrades we can do it all.",2008,5,"We accept cash, cheque, and credit card processed through paypal. No account is needed.","All from Quality Course Design School.
-ISRP International Staging & Redesign Professional.
-IOP I",,"RESA -Real Estate Staging Association.
BBC -Business Breakfast Club 
",TRUE,FALSE,,,TRUE,FALSE,We have contracts for clients that require additional services over the initial consultation.,1845932,Capital Home Staging & Design,20,15,0,9.86667,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",1,FALSE,0,0,1,NA,FALSE,c4d5ea5e5dd4b3c8feddb958116e8d1fc7195443,FALSE,TRUE,FALSE,1836739,71.2701995702,437,NA,NA,2010-12-10T11:16:06.000-05:00,CapitalHomeStagingAndDesign,2018-07-25T08:58:10.000-04:00
https://homestars.com/on/mountain-city/staging,23,"https://homestars.com/on/mountain-city/staging; c(""https://homestars.com/on/mountain-city/staging?&page=2&"", ""https://homestars.com/on/mountain-city/staging?&page=3&"")",Home Staging,2886893,NA,/companies/2886893-staged-ottawa?searched_category_id=437&service_area=2093424,Helping home owners and realtors prepare homes for sale by providing creative solutions designed to bring out the best features in any space & ensure the property appeals to a wide variety of potential buyers.,staged-ottawa,2016-05-03T10:14:48.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1949317,Staged Ottawa,2,2,0,10,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,FALSE,0,0,0,0,FALSE,c2ade77baa6ab5a50090ffabd31c0ce5a7720736,TRUE,FALSE,FALSE,2093424,57.1016483516,437,NA,NA,2016-05-04T20:00:11.000-04:00,NA,2016-05-04T15:26:32.000-04:00
https://homestars.com/on/mountain-city/staging,23,"https://homestars.com/on/mountain-city/staging; c(""https://homestars.com/on/mountain-city/staging?&page=2&"", ""https://homestars.com/on/mountain-city/staging?&page=3&"")",Home Staging,2802789,NA,/companies/2802789-property-staged?searched_category_id=437&service_area=1868435,NA,property-staged,2012-11-08T13:23:18.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1865790,Property Staged,3,3,0,10,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,FALSE,0,0,0,NA,FALSE,f3de1a150b09dad87470f58c4694b947d382d053,FALSE,FALSE,FALSE,1868435,56.7032967033,437,NA,NA,NA,NA,2016-04-05T11:37:35.000-04:00
https://homestars.com/on/mountain-city/staging,23,"https://homestars.com/on/mountain-city/staging; c(""https://homestars.com/on/mountain-city/staging?&page=2&"", ""https://homestars.com/on/mountain-city/staging?&page=3&"")",Home Staging,2787981,NA,/companies/2787981-help-downsizing?searched_category_id=437&service_area=1846047,NA,help-downsizing,2011-06-04T11:43:27.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1851033,Help Downsizing,12,12,0,9.83333,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,FALSE,0,0,0,NA,FALSE,9f40fad0e397b39239eedaceff46dbf0170bf416,FALSE,TRUE,FALSE,1846047,39.2398740846,437,NA,NA,2012-02-01T17:15:00.000-05:00,NA,2011-06-04T15:40:55.000-04:00
https://homestars.com/on/mountain-city/staging,23,"https://homestars.com/on/mountain-city/staging; c(""https://homestars.com/on/mountain-city/staging?&page=2&"", ""https://homestars.com/on/mountain-city/staging?&page=3&"")",Home Staging,2749028,NA,/companies/2749028-room-remedy?searched_category_id=437&service_area=1877918,"Ottawa's Premier Home Staging Company. 

ROOM REMEDY Home Stagers stage each home with the demographic of the neighbourhood and the lifestyle of the potential buyers in mind. Above all, their goals are to have the client's home stand out from the competition and to captivate potential buyers",room-remedy,2008-03-04T16:55:15.000-05:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1812080,Room Remedy,1,1,0,10,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,FALSE,0,0,0,NA,FALSE,f8aecd11e9ce51523d94c68f302775eec1a532c6,TRUE,FALSE,FALSE,1877918,61.3324175824,437,NA,NA,2013-04-03T08:20:37.000-04:00,NA,NA
https://homestars.com/on/mountain-city/staging,23,"https://homestars.com/on/mountain-city/staging; c(""https://homestars.com/on/mountain-city/staging?&page=2&"", ""https://homestars.com/on/mountain-city/staging?&page=3&"")",Home Staging,2905738,NA,/companies/2905738-simple-touch?searched_category_id=437&service_area=2141460,NA,simple-touch,2017-12-04T12:54:59.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1967923,Simple Touch ,0,0,1,NA,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,FALSE,0,0,2,0,FALSE,594c1e6f323429b6cdd1491a7d991a0fb5c3d0cd,FALSE,FALSE,FALSE,2141460,-1.0,437,NA,NA,2017-12-04T12:55:57.000-05:00,NA,NA
