Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at
https://homestars.com/on/longwood/carpenters,37,"c(""https://homestars.com/on/longwood/carpenters?&page=2&"", ""https://homestars.com/on/longwood/carpenters?&page=3&"", ""https://homestars.com/on/longwood/carpenters?&page=4&"")",Carpenters,2891474,http://www.tailoredcontracting.com,/companies/2891474-tailored-contracting?searched_category_id=323&service_area=2154410,"Tailored Contracting is a home improvement company servicing most of the southern GTA. Our projects range from handyman services to flooring, door and trim installations to bathroom, basement and kitchen renovations to full home/condominium and commercial renovations. We Specialize in Bathroom Renovation, Basement renovation, Bathroom Remodeling, and Kitchen Renovations. All finish and trim carpentry such as, crown molding, baseboards, door installations, casing, wainscoting, drywall, and taping. We undertake work in all budget ranges while providing top quality work with hopes to exceed your expectations. We commit to completing your project in an organized, professional manner. We take pride in tailoring our services to your needs. Our personal expectations demand quality and insured work, completed on time. Do not hesitate to contact us for any questions. Contact us today to schedule your appointment.",tailored-contracting,2016-10-30T16:07:27.000-04:00,NA,NA,NA,,"Some of the services that we are are:

Basement Renovation, Bathroom Renovation, Basement Finishing, Bathroom Remodeling, Kitchen Makeovers, Kitchen Renovation, marble installation, porcelain, mosaic, marble, ceramic tile installation, ceramic tile setting, marble tile setting, crown moulding, baseboard installation, shoe mould installation, casing installation, interior and exterior door installation, all trim/finish carpentry. Framing, subfloor, drywall, taping, painting.",,,NA,NA,,,,,TRUE,FALSE,,,TRUE,FALSE,,1953898,Tailored Contracting,37,35,239,9.94286,"Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,",0,tailoredcontract,FALSE,0,0,220,0,FALSE,9e3744a425f36c9a0471934cc50c994755d211e0,TRUE,2021-11-28T19:36:36.000-05:00,TRUE,TRUE,2154410,98.4479197195,323,NA,NA,NA
https://homestars.com/on/longwood/carpenters,37,"c(""https://homestars.com/on/longwood/carpenters?&page=2&"", ""https://homestars.com/on/longwood/carpenters?&page=3&"", ""https://homestars.com/on/longwood/carpenters?&page=4&"")",Carpenters,2973485,https://www.jandmconstruction.ca,/companies/2973485-j-and-m-construction-services?searched_category_id=323&service_area=2292711,"J & M Construction is a leading and reputable Construction Company serving the Greater Toronto Area and surrounding areas. Ever since we opened for business, we’ve taken a comprehensive approach to project management, providing our clients with a wide range of services to cover their needs. We provide excellent customer service, quality of workmanship guarantee, fully insured, licensed and bonded. We walk with our customers through every stage of the process to ensure they get exactly what they envisioned at the price they desire. You Dream it, we build it!

 Get in touch today to learn more about what we can offer you.",j-and-m-construction-services,2022-09-26T10:18:15.000-04:00,NA,NA,NA,,,,,NA,NA,,,Fully Licenced,,TRUE,TRUE,,,TRUE,FALSE,,2035396,J AND M CONSTRUCTION SERVICES,7,7,62,10,"Basement Renovation, Basement renovation, Basement remodeling, Basement remodelling, renovating your basement, renovation, waterproofing, remodeling, home renovation, house renovation, water in basement, basement waterproofing,finishing basement, moistureproof, remodeling the house, caulking,Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,,FALSE,0,0,64,0,FALSE,be77b2fa0ff956568b29f7d14674bf02ed79a795,TRUE,2022-11-08T14:47:26.000-05:00,TRUE,TRUE,2292711,90.3280022323,323,NA,NA,2022-09-26T10:21:58.000-04:00
https://homestars.com/on/longwood/carpenters,37,"c(""https://homestars.com/on/longwood/carpenters?&page=2&"", ""https://homestars.com/on/longwood/carpenters?&page=3&"", ""https://homestars.com/on/longwood/carpenters?&page=4&"")",Carpenters,2952454,,/companies/2952454-f1-contracting?searched_category_id=323&service_area=2245104,"For over 20 plus years F1 contracting has been the leader in carpentry and reno work serving Hamilton , Stoney Creek and Halton. Our work speaks for itself along with meeting deadlines and homeowner satifaction is our main goal.    From hanging a door to complete bathroom and basement work no job is to big or small.   ",f1-contracting,2021-01-28T13:30:21.000-05:00,NA,NA,NA,,,,,2001,NA,,,,,TRUE,FALSE,,,FALSE,FALSE,,2014550,F1 Contracting,9,9,77,10,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,,FALSE,0,0,83,0,FALSE,43767ff2d403b0a9e2804f1b10b3cb4ada5c42c9,TRUE,2022-11-01T13:12:24.000-04:00,TRUE,TRUE,2245104,90.8578884418,323,NA,NA,2021-01-28T13:31:52.000-05:00
https://homestars.com/on/longwood/carpenters,37,"c(""https://homestars.com/on/longwood/carpenters?&page=2&"", ""https://homestars.com/on/longwood/carpenters?&page=3&"", ""https://homestars.com/on/longwood/carpenters?&page=4&"")",Carpenters,2964187,,/companies/2964187-madeira-woodworking?searched_category_id=323&service_area=2271216,,madeira-woodworking,2022-01-31T16:50:03.000-05:00,NA,NA,NA,,,,,2018,NA,Cash | Cheques | E-Transfer,,Fully Licensed,,TRUE,FALSE,,,TRUE,FALSE,,2026119,Madeira Woodworking,3,3,50,10,"Handyman Services, Handyman, Home Handyman, Handyman Business, Repairmen, Repairman, house doctor, how to be a handyman, what is a handyman, the handyman, a handyman, handy man, the handy man, handy handyman, home repair, in home repair, handymen, the handymen, improvements home, home remodeling, home improvement remodeling, remodeling home improvement, hand man, kitchen and remodeling, home improvement and repair, home repair and improvement, home improvement repair, remodeling and repair, home remodeling and repair, home repair and remodeling, home repair remodeling, home remodeling repair, home improvements remodeling, repair house, house repair, house remodeling, house improvements, property maintenance, home maintenance, home repairs, in home repairs, repairman, services handyman, the handyman service, service handyman, handyman service, handy services, house repairs, repairs house, repair homes, service contractors, mr fix it, mud room, mudroom, caulking,Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,madeira,FALSE,0,0,50,0,FALSE,7a501fdeefb5d0b2de1182e093bd0984657cd022,TRUE,NA,TRUE,TRUE,2271216,89.0067467828,323,NA,NA,2022-01-31T16:51:25.000-05:00
https://homestars.com/on/longwood/carpenters,37,"c(""https://homestars.com/on/longwood/carpenters?&page=2&"", ""https://homestars.com/on/longwood/carpenters?&page=3&"", ""https://homestars.com/on/longwood/carpenters?&page=4&"")",Carpenters,2961175,https://www.instagram.com/craftedtrimcarpentry/,/companies/2961175-crafted-trim-carpentry?searched_category_id=323&service_area=2266859,"We are a residential interior millwork service. Focused on providing quality craftsmanship and a great customer experience.
We provide installation of Trim, Doors, Crown moulding, Wainscoting, Coffered Ceilings, Accent walls, Custom Mantels, and Built-ins, in and around the Greater Hamilton Area.",crafted-trim-carpentry,2021-10-30T13:09:21.000-04:00,NA,NA,NA,,,,,2021,NA,"Cheque, Etransfer",,General Carpentry,,FALSE,FALSE,,,FALSE,FALSE,,2023146,Crafted Trim Carpentry,3,3,43,10,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,,FALSE,0,0,44,0,FALSE,74644cd588b4e70d7d8c628cfb0ce3abf953072f,TRUE,NA,TRUE,TRUE,2266859,84.1914632726,323,NA,NA,2021-10-30T13:10:18.000-04:00
https://homestars.com/on/longwood/carpenters,37,"c(""https://homestars.com/on/longwood/carpenters?&page=2&"", ""https://homestars.com/on/longwood/carpenters?&page=3&"", ""https://homestars.com/on/longwood/carpenters?&page=4&"")",Carpenters,2930390,https://bryansmit.ca/,/companies/2930390-bryan-smit-s-carpentry?searched_category_id=323&service_area=2219812,"I’m Bryan Smit, and I run this business with my family and close friends. I have been working as a carpenter for eight years in the Greater Toronto Hamilton Area, but have a lifetime of experience in home renovations and the skilled trades.
 
Both of my grandfathers built new lives for their families in Canada as tradesmen—one as a plumber, and one as a mechanic and handyman. As active members in the Dutch community in Southern Ontario, both quickly became known as reliable and skilled labourers always willing to help out with anything from a clogged toilet to a full renovation. That dedication to quality work, that love for working with your hands and providing for your family and the families in your community, has been passed down in my family for generations. My father is a plumber; my brother is a welder; my uncles and cousins work in construction and woodworking; and we always come together when one of us has a project, whether it’s redoing a roof, building a shed, or renovating a bathroom. Combined, we have over 200 years of building, renovation, and repair experience.
 
From a very young age, my parents involved my siblings and me in the family projects, and they instilled in me a passion for constructing something, for the accuracy and attention to detail required, for the feeling of contributing to what makes a family’s house a home.
 
From basements to bedrooms to backyards, Bryan Smit’s Carpentry will help make your house the home your family dreamed of.
 
All of our work is fully bonded and insured.

Follow us on Instagram! https://www.instagram.com/bryansmitcarpentry/
",bryan-smit-s-carpentry,2019-04-28T01:00:54.000-04:00,NA,NA,NA,,,,,2018,2,"Etransfer, Cheque, and Cash",,,,TRUE,FALSE,,,TRUE,FALSE,Contact for Details,1992564,Bryan Smit's Carpentry,19,18,61,10,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,BryanSmit,FALSE,0,0,70,0,FALSE,57163011d9a6c5a108e933f80fb82cf23acbdfc5,TRUE,2022-08-26T09:02:54.000-04:00,TRUE,TRUE,2219812,98.9454048414,323,NA,NA,2019-04-28T01:01:56.000-04:00
https://homestars.com/on/longwood/carpenters,37,"c(""https://homestars.com/on/longwood/carpenters?&page=2&"", ""https://homestars.com/on/longwood/carpenters?&page=3&"", ""https://homestars.com/on/longwood/carpenters?&page=4&"")",Carpenters,2898712,https://redwincontracting.ca/,/companies/2898712-redwin-contracting-ltd?searched_category_id=323&service_area=2126739,"REDWIN is a professional company with over 20 years of construction experience under it’s belt. We are a team that is dedicated to high quality work for a fair price in complete home renovations - kitchens, bathrooms, basements, and more - guaranteeing our customers satisfaction.

Let Redwin help you put it all together!

Licensed and Insured.",redwin-contracting-ltd,2017-06-27T20:30:31.000-04:00,NA,NA,NA,,"Home Renovations - kitchens, bathrooms, basements",,,2010,4,,,,,TRUE,FALSE,,,TRUE,FALSE,,1961136,Redwin Contracting Ltd.,18,18,18,9.83333,"General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,redwin,FALSE,0,0,19,0,FALSE,381765312c94e4eef1db087918d5ecedfda2ba0b,TRUE,2021-04-12T21:19:06.000-04:00,TRUE,TRUE,2126739,95.1215351909,323,NA,NA,2017-06-27T20:31:15.000-04:00
https://homestars.com/on/longwood/carpenters,37,"c(""https://homestars.com/on/longwood/carpenters?&page=2&"", ""https://homestars.com/on/longwood/carpenters?&page=3&"", ""https://homestars.com/on/longwood/carpenters?&page=4&"")",Carpenters,2949167,https://www.kardorenovation.ca/,/companies/2949167-kardo-renovation?searched_category_id=323&service_area=2265542,"Based in the GTA West covering Mississauga, Oakville, Milton, Hamilton, Ancaster and surrounding towns. We are specialists in Finishing basements, remodeling bathrooms, kitchen renovations and all other household renovation projects. Please call 3653668774 for a quote or an estimate and we will be happy to come to your home & make your dream a reality. 
 
Money comes and goes by either way, but a good reputation is a great wealth, over three decades of experience has made us proud enough. ",kardo-renovation,2020-10-28T16:17:03.000-04:00,NA,NA,NA,,"Plumbing services, installing electrical kitchen appliances, ceiling pot lights, under cabinet LED lights, tilling, backsplashes, painting, replacing & magnifying doors and windows, railing & stairs remodeling ",,"Bathroom, Basements, Kitchen, Full Home Reno, Framing. ",1985,8,"Money order, cheque, cash and E-transfer ",Art & Design,Ontario College  - General carpentry  ,,TRUE,TRUE,,1000,TRUE,FALSE,Based on the product’s quality - ask owner. ,2011304,Kardo Renovation,4,4,42,9.5,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,",0,,FALSE,0,0,49,0,FALSE,1fc68ad3cf4b977f6fd9907ef9a737c2cd659e94,TRUE,NA,TRUE,TRUE,2265542,85.5098914425,323,NA,NA,2020-10-28T16:18:51.000-04:00
https://homestars.com/on/longwood/carpenters,37,"c(""https://homestars.com/on/longwood/carpenters?&page=2&"", ""https://homestars.com/on/longwood/carpenters?&page=3&"", ""https://homestars.com/on/longwood/carpenters?&page=4&"")",Carpenters,2907836,https://maxlorgroup.com,/companies/2907836-maxlor-group?searched_category_id=323&service_area=2213079,"MAXLOR Custom Homes & Renovations is a premier construction company with over 25 years of experience. We provide our customers with a solution to their vision(s). We’re dedicated to providing excellent service while meeting the budget that’s set out for the project.

THE ORIGIN OF MAXLOR
The dedicated MAXLOR team, Stephanie and Salomon, use their experience and expertise to complete outstanding remodel and renovation projects.  As a dynamic husband and wife team, they are passionate about honest work and dedicated to their family company, MAXLOR Custom Homes and Renovations. The company was born out of a desire to live the entrepreneur lifestyle and to create a legacy for their four children.  The MAXLOR name is a combination of their son’s names, Maximiliano and Lorenzo, representing the strength and pride they share as a family unit. MAXLOR Custom Homes and Renovations is a company built on integrity.  Salomon brings over 25 years of building experience and a love of intricate carpentry to every project he works on.  Stephanie prides herself on sharp communication skills, strong organizational skills, and the ability to manage a project schedule with precision.  This unstoppable team has the perfect mix of knowledge and talent to design, build and manage a range of remodel, renovation and addition projects.

THE MAXLOR ADVANTAGE
The MAXLOR advantage is the opportunity to work with a team of experts that offer a transparent approach to home remodeling and renovation.  This talented team delivers exceptional quality with a final reveal that is nothing short of divine.  At MAXLOR Custom Homes and Renovations, there is great pride in bringing the client’s vision to life.  

PROUD MEMBER OF LIONSGATE DESIGN COLLECTIVE
The Collective is a curated collection of talented designers, decorators, contractors, home professionals and support staff. We tackle any project and make it easy for you to sit back, relax and make your vision come true. For over 10 years Lionsgate Design Inc. has grown in the business to bring you a carefully vetted team ensuring your project is handled with the greatest knowledge, expertise and style. Any project, large or small, with our full-service team, you're in good hands! https://lionsgatedesign.ca/ 

THE COLLECTIVE CONNECTION PROCESS
We created The Collective Connection Process™ based on our experience working with thousands of clients over many years. We’ve learned that some people do not achieve the best outcomes with their interior designer or contractor because they did not connect first with what they really wanted emotionally. We call this The Disconnected Design Trap™. When you fall into this trap, you waste a lot of time and money, feel stressed, and worried and ultimately do not achieve your vision. This is why we created The Collective Connection Process™.  To get a better outcome, we learned it's important to connect first with what you really want emotionally. By engaging in a Collective Connection Conversation you are taking the first step to avoid the Disconnected Design Trap.  You will feel more relaxed and confident. And you will achieve your vision. Schedule a conversation - https://calendly.com/collectiveconnectionconversation",maxlor-group,2018-01-23T13:36:34.000-05:00,NA,NA,NA,,"Full Home Remodel
Basement Remodel
Additions
Bathroom Renovations
Kitchen Renovations
Project Management
",,"Trim Carpentry
Full Home Renovations
Kitchen Renovations
Bathroom Renovations",2017,NA,Cheque and e-transfer,,All technicians are licensed and insured as required ,,TRUE,FALSE,,,TRUE,FALSE,1 Year on Workmanship. Kindly ask for more  details.  Depends on project completed. ,1970021,MAXLOR Group,10,10,327,9,"General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,Kitchen Planning & Renovation, Kitchen Planning And Design, Kitchen Cabinet Planning, Kitchen Design, Kitchen Remodeling, kitchen or, and bathroom, a and a kitchens, kitchens and, for kitchens, a kitchens, kitchens, the house design, cabinets for kitchen, cabinets for the kitchen, cabinets and kitchen, kitchen cabinets, design a kitchen, about kitchen design, a kitchen design, how to kitchen design, design and kitchen, the kitchen design, design for kitchen, kitchen designs, renovation and remodeling, remodeling and renovation, kitchen designer,,Kitchen Renovation, caulking, ,",0,,FALSE,0,0,357,0,FALSE,97a2124f29a4241347797444ea2781a79d1239b2,TRUE,NA,TRUE,TRUE,2213079,91.2136816582,323,NA,NA,2018-01-23T13:37:32.000-05:00
https://homestars.com/on/longwood/carpenters,37,"c(""https://homestars.com/on/longwood/carpenters?&page=2&"", ""https://homestars.com/on/longwood/carpenters?&page=3&"", ""https://homestars.com/on/longwood/carpenters?&page=4&"")",Carpenters,2907836,https://maxlorgroup.com,/companies/2907836-maxlor-group?searched_category_id=323&service_area=2145897,"MAXLOR Custom Homes & Renovations is a premier construction company with over 25 years of experience. We provide our customers with a solution to their vision(s). We’re dedicated to providing excellent service while meeting the budget that’s set out for the project.

THE ORIGIN OF MAXLOR
The dedicated MAXLOR team, Stephanie and Salomon, use their experience and expertise to complete outstanding remodel and renovation projects.  As a dynamic husband and wife team, they are passionate about honest work and dedicated to their family company, MAXLOR Custom Homes and Renovations. The company was born out of a desire to live the entrepreneur lifestyle and to create a legacy for their four children.  The MAXLOR name is a combination of their son’s names, Maximiliano and Lorenzo, representing the strength and pride they share as a family unit. MAXLOR Custom Homes and Renovations is a company built on integrity.  Salomon brings over 25 years of building experience and a love of intricate carpentry to every project he works on.  Stephanie prides herself on sharp communication skills, strong organizational skills, and the ability to manage a project schedule with precision.  This unstoppable team has the perfect mix of knowledge and talent to design, build and manage a range of remodel, renovation and addition projects.

THE MAXLOR ADVANTAGE
The MAXLOR advantage is the opportunity to work with a team of experts that offer a transparent approach to home remodeling and renovation.  This talented team delivers exceptional quality with a final reveal that is nothing short of divine.  At MAXLOR Custom Homes and Renovations, there is great pride in bringing the client’s vision to life.  

PROUD MEMBER OF LIONSGATE DESIGN COLLECTIVE
The Collective is a curated collection of talented designers, decorators, contractors, home professionals and support staff. We tackle any project and make it easy for you to sit back, relax and make your vision come true. For over 10 years Lionsgate Design Inc. has grown in the business to bring you a carefully vetted team ensuring your project is handled with the greatest knowledge, expertise and style. Any project, large or small, with our full-service team, you're in good hands! https://lionsgatedesign.ca/ 

THE COLLECTIVE CONNECTION PROCESS
We created The Collective Connection Process™ based on our experience working with thousands of clients over many years. We’ve learned that some people do not achieve the best outcomes with their interior designer or contractor because they did not connect first with what they really wanted emotionally. We call this The Disconnected Design Trap™. When you fall into this trap, you waste a lot of time and money, feel stressed, and worried and ultimately do not achieve your vision. This is why we created The Collective Connection Process™.  To get a better outcome, we learned it's important to connect first with what you really want emotionally. By engaging in a Collective Connection Conversation you are taking the first step to avoid the Disconnected Design Trap.  You will feel more relaxed and confident. And you will achieve your vision. Schedule a conversation - https://calendly.com/collectiveconnectionconversation",maxlor-group,2018-01-23T13:36:34.000-05:00,NA,NA,NA,,"Full Home Remodel
Basement Remodel
Additions
Bathroom Renovations
Kitchen Renovations
Project Management
",,"Trim Carpentry
Full Home Renovations
Kitchen Renovations
Bathroom Renovations",2017,NA,Cheque and e-transfer,,All technicians are licensed and insured as required ,,TRUE,FALSE,,,TRUE,FALSE,1 Year on Workmanship. Kindly ask for more  details.  Depends on project completed. ,1970021,MAXLOR Group,10,10,327,9,"General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,Kitchen Planning & Renovation, Kitchen Planning And Design, Kitchen Cabinet Planning, Kitchen Design, Kitchen Remodeling, kitchen or, and bathroom, a and a kitchens, kitchens and, for kitchens, a kitchens, kitchens, the house design, cabinets for kitchen, cabinets for the kitchen, cabinets and kitchen, kitchen cabinets, design a kitchen, about kitchen design, a kitchen design, how to kitchen design, design and kitchen, the kitchen design, design for kitchen, kitchen designs, renovation and remodeling, remodeling and renovation, kitchen designer,,Kitchen Renovation, caulking, ,",0,,FALSE,0,0,357,0,FALSE,97a2124f29a4241347797444ea2781a79d1239b2,TRUE,NA,TRUE,TRUE,2145897,91.2136816582,323,NA,NA,2018-01-23T13:37:32.000-05:00
